Timestamp,Company,Daily High,Daily Low,Share Volume,Average Share,Annual Target
2016-03-08 21:38:17,CHKE,17.40,17.04,"36576",0.20,24.5
2016-03-08 21:38:17,int,48.41,45.39,"67929",0.24,47
2016-03-08 21:38:17,sum,19.58,18.50,"94309",N/A,23.815
2016-03-08 21:38:17,gas,64.90,64.52,"14088",2.12,66
2016-03-08 21:38:17,sun,33.68,32.50,"68298",3.2052,45
2016-03-08 22:36:58,CHKE,17.40,17.04,"36576",0.20,24.5
2016-03-08 22:36:59,int,48.41,45.39,"67929",0.24,47
2016-03-08 22:36:59,sum,19.58,18.50,"94309",N/A,23.815
2016-03-08 22:36:59,gas,64.90,64.52,"14088",2.12,66
2016-03-08 22:36:59,sun,33.68,32.50,"68298",3.2052,45
2016-03-08 23:35:51,CHKE,17.40,17.04,"36576",0.20,24.5
2016-03-08 23:35:51,int,48.41,45.39,"67929",0.24,47
2016-03-08 23:35:51,sum,19.58,18.50,"94309",N/A,23.815
2016-03-08 23:35:51,gas,64.90,64.52,"14088",2.12,66
2016-03-08 23:35:52,sun,33.68,32.50,"68298",3.2052,45
2016-03-09 00:34:39,CHKE,17.40,17.04,"36576",0.20,24.5
2016-03-09 00:34:40,int,48.41,45.39,"67929",0.24,47
2016-03-09 00:34:40,sum,19.58,18.50,"94309",N/A,23.815
2016-03-09 00:34:40,gas,64.90,64.52,"14088",2.12,66
2016-03-09 00:34:40,sun,33.68,32.50,"68298",3.2052,45
2016-03-09 01:33:13,CHKE,17.40,17.04,"36576",0.20,24.5
2016-03-09 01:33:13,int,48.41,45.39,"67929",0.24,47
2016-03-09 01:33:13,sum,19.58,18.50,"94309",N/A,23.815
2016-03-09 01:33:13,gas,64.90,64.52,"14088",2.12,66
2016-03-09 01:33:13,sun,33.68,32.50,"68298",3.2052,45
2016-03-09 02:31:56,CHKE,17.40,17.04,"36576",0.20,24.5
2016-03-09 02:31:56,int,48.41,45.39,"67929",0.24,47
2016-03-09 02:31:57,sum,19.58,18.50,"94309",N/A,23.815
2016-03-09 02:31:57,gas,64.90,64.52,"14088",2.12,66
2016-03-09 02:31:57,sun,33.68,32.50,"68298",3.2052,45
2016-03-09 03:30:55,CHKE,17.40,17.04,"36576",0.20,24.5
2016-03-09 03:30:55,int,48.41,45.39,"67929",0.24,47
2016-03-09 03:30:55,sum,19.58,18.50,"94309",N/A,23.815
2016-03-09 03:30:55,gas,64.90,64.52,"14088",2.12,66
2016-03-09 03:30:56,sun,33.68,32.50,"68298",3.2052,45
2016-03-08 18:46:12,CHKE,17.40,17.04,"36576",0.20,4.5
2016-03-08 18:46:12,int,48.41,45.39,"67929",0.24,47
2016-03-08 18:46:13,sum,19.58,18.50,"94309",N/A,23.815
2016-03-08 18:46:13,gas,64.90,64.52,"14088",2.12,66
2016-03-08 18:46:13,sun,33.68,32.50,"68298",3.2052,45
2016-03-08 19:45:52,CHKE,17.40,17.04,"36576",0.20,24.5
2016-03-08 19:45:52,int,48.41,45.39,"67929",0.24,47
2016-03-08 19:45:53,sum,19.58,18.50,"94309",N/A,23.815
2016-03-08 19:45:53,gas,64.90,64.52,"14088",2.12,66
2016-03-08 19:45:53,sun,33.68,32.50,"68298",3.2052,45
